Sold Price,Beds,Baths,Floors,Garage Spaces,Lot Size (sq ft),Home Size (sq ft),Year Built,School Score Avg,Walk Score,Transit Score,Bike Score,Laundry,Heating,Air Conditioning,Pool,Address,City,County,Zip Code,Property Type,Sold Status,URL
2450000,2,2.0,2,0,1999.4040000000002,773,1927,7.666666666666667,84,51,99,True,True,True,False,678 HAWTHORNE AVE,PALO ALTO,SANTA CLARA COUNTY,94301,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Palo-Alto/678-Hawthorne-Ave-94301/home/585806
2665562,3,2.0,nan,2,5719.428,1330,1947,7.666666666666667,15,29,63,True,True,False,True,1047 GREENWOOD DR,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/1047-Greenwood-Dr-94025/home/818548
2730000,5,4.0,1,2,9400.248,2381,2021,nan,nan,nan,nan,True,True,True,True,3749 FLORENCE ST,REDWOOD CITY,SAN MATEO COUNTY,94063,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Redwood-City/3749-Florence-St-94063/home/819914
2400000,3,2.0,1,2,5000.688,1390,1956,7.666666666666667,53,26,53,True,True,True,True,43 LORELEI LN,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/43-Lorelei-Ln-94025/home/851662
4600000,3,3.0,1,2,5000.688,2317,1951,7.666666666666667,nan,nan,nan,True,True,False,True,855 MENLO OAKS DR,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/855-Menlo-Oaks-Dr-94025/home/854473
2715000,3,2.0,1,2,5688.936,1545,1947,7.666666666666667,73,37,82,True,True,True,False,732 LAUREL AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/732-Laurel-Ave-94025/home/855085
4280000,4,3.5,2,0,5688.936,2483,2022,7.666666666666667,69,36,83,True,False,False,True,752 GILBERT AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY RESIDENTIAL,Sold,https://www.redfin.com/CA/Menlo-Park/752-Gilbert-Ave-94025/home/855525
4150000,4,3.0,1,2,20608.236,2798,1963,7.666666666666667,nan,nan,nan,True,True,True,True,624 BERKELEY AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/624-Berkeley-Ave-94025/home/856850
1375000,3,2.0,1,0,5749.92,1350,1950,nan,61,36,80,True,True,False,True,1140 BERKELEY AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/1140-Berkeley-Ave-94025/home/857605
3600000,3,3.0,1,0,12249.072,1540,1948,7.666666666666667,nan,nan,nan,True,True,False,True,1026 RINGWOOD AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/1026-Ringwood-Ave-94025/home/857708
3950000,4,3.5,2,2,6098.400000000001,2367,2021,7.666666666666667,70,38,84,True,True,True,False,321 NOVA LN,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/321-Nova-Ln-94025/home/858545
985000,3,1.0,nan,0,5074.740000000001,910,1954,nan,59,36,74,True,True,True,True,1112 HENDERSON AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/1112-Henderson-Ave-94025/home/859696
1100000,2,1.0,1,1,5588.748,770,1950,nan,67,36,79,False,True,False,True,1140 HENDERSON AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/1140-Henderson-Ave-94025/home/859731
3300000,3,2.0,1,0,7801.5960000000005,1530,1955,7.666666666666667,68,53,98,True,True,False,True,35 WILLOW RD,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY RESIDENTIAL,Closed,https://www.redfin.com/CA/Menlo-Park/35-Willow-Rd-94025/home/859916
1775000,3,1.0,1,1,6599.34,970,1949,7.666666666666667,69,36,79,True,True,True,False,2110 MENALTO AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/2110-Menalto-Ave-94025/home/862333
4700000,4,3.0,1,2,10811.592,2770,1998,7.666666666666667,64,35,83,True,True,True,True,199 SEMINARY DR,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/199-Seminary-Dr-94025/home/862560
3100000,4,2.0,nan,2,9901.188,2310,1965,nan,nan,nan,nan,True,True,False,True,55 VASILAKOS WAY,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/55-Vasilakos-Way-94025/home/883916
4470000,4,4.5,1,2,5998.2119999999995,2682,2021,8.0,nan,nan,nan,True,True,True,True,1332 AMERICAN WAY,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/1332-American-Way-94025/home/884173
5000000,4,3.0,2,2,7562.0160000000005,3496,1988,nan,nan,nan,nan,True,True,True,True,5 ARBOL GRANDE CT,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/5-Arbol-Grande-Ct-94025/home/884679
2900000,3,2.0,1,2,7056.72,1660,1963,8.0,92,44,91,True,True,True,True,915 MILLIE AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/915-Millie-Ave-94025/home/884757
6009000,6,4.0,1,2,12601.908,4340,1953,8.0,nan,nan,nan,True,True,True,True,1868 CAMINO DE LOS ROBLES,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/1868-Cam-De-Los-Robles-94025/home/885332
3000000,2,1.0,1,2,6651.612,1200,1933,7.666666666666667,94,46,94,True,True,False,True,836 OAK GROVE AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/836-Oak-Grove-Ave-94025/home/886641
